q, (a, b, c)
306.5, (2397.9188212516524,0.7510802955822007,-966.4623188410367,0.09704944959813902)
307.5, (2703.4558227730518,0.6959890573106139,-1225.4765877861653,0.0937294782775374)
308.5, (2927.228368502981,0.7044986733677436,-1345.0086946728431,-0.10125460853380619)
309.5, (3194.5870995837217,0.6125312179569549,-1637.292120671592,-0.07245214010128496)
310.5, (3228.3738674329784,0.6619944001180632,-1552.0950932072599,-0.09116510523195279)
311.5, (3550.7654180805466,0.6145694501769347,-1838.676774679072,-0.0812652197337691)
312.5, (4120.953149232999,0.5816594132339185,-2303.2585088061373,-0.079212609311922)
313.5, (3719.636837105004,0.6259868183741027,-1863.332804157035,0.08274211087965605)
314.5, (3779.136301516116,0.6357154871608413,-1885.0022615347032,0.09283969235736617)
315.5, (-6077.863194744741,0.6183152026577877,8062.332874947337,-5.65281629230313)
316.5, (5159.3936246316935,0.5519919472610866,-3058.3812446746897,-0.08564026793540902)
317.5, (4356.199891535306,0.6462281542554478,-2225.2101972398777,0.10568520998800655)
318.5, (-6078.197838926733,0.6358232468501909,8280.19500419131,-0.3516197234262695)
319.5, (-6660.182434399282,0.624184879887732,8938.744414444502,-0.34812080405538404)
320.5, (5871.103044308915,0.5526712396285954,-3505.948971898081,-0.09551140846810276)
321.5, (-7380.511170008112,0.6059421444611637,9823.43666840642,-0.3485904539114271)
322.5, (-6780.7233483366,0.6328025492148028,9248.478191030908,-0.35201975532695934)
323.5, (-10006.398038505871,0.5380155467864366,12587.622309539398,-0.6571470678664575)
324.5, (-7500.332318604438,0.6191850687800876,10206.793183556505,-0.35285816980287804)
325.5, (-6341.2225681269265,0.6720573126883144,9117.67411454926,-0.3592041118191633)
326.5, (-7327.663120796782,0.6189247999672085,10115.006210675925,-0.35668671641234506)
327.5, (8793.341512285035,0.49936395310842974,-5878.310401209113,-0.10477840531617977)
328.5, (8572.376021797885,0.5075597464443659,-5632.158817846712,-0.101915471065729)
329.5, (-5718.098231477492,0.738002741221674,8825.316079662478,-0.3659936647166982)
330.5, (-6148.626249963287,0.702647412450201,9226.248380869149,-0.3633761575826479)
331.5, (-5911.641984221852,0.7267527732797864,9103.600307635179,0.36704330444883654)
332.5, (-7160.032487189754,0.6673740858410914,10472.621873000213,-0.364690086805569)
333.5, (-7573.765746001931,0.6503441227419153,10935.6809770512,-0.3626367113576994)
334.5, (-6570.5338084022305,0.7109130040722836,10037.71967004483,-0.3671312873961792)
335.5, (-7215.331791584397,0.6759322953558912,10684.479434179666,-1.3645955237161544)
336.5, (-6934.819606633064,0.709168749640836,10565.049860267065,-0.3673789362385994)
337.5, (-7515.517370644353,0.6814070350948594,11254.41559080256,-0.3678459832300252)
338.5, (-7239.845838040846,0.6908467690641111,10944.101753824003,-0.3667219964232105)
339.5, (-6590.311077948829,0.7408590440530815,10489.865029573919,-0.3725576935217537)
340.5, (-6827.536574239929,0.7266401294723112,10735.959363277478,-0.371829620337784)
341.5, (-6223.895801093836,0.7729038132207539,10247.852250183354,-0.3751729885395293)
342.5, (-7010.536918450441,0.7171249181641584,11118.527645292597,-0.3748754763708665)
343.5, (-6761.5063666447195,0.7439303117227402,10901.384136656348,-0.3740332256762216)
344.5, (-9392.182065133095,0.6318803767668664,13689.585802086485,-0.3682228685842025)
345.5, (-5554.316868424004,0.8437253584557228,9784.66876795078,-0.6199443946832549)
346.5, (-6646.892944588051,0.7790475736459879,11116.290846608728,-0.37707795718815523)
347.5, (-5994.863096161117,0.8164694656279116,10417.538429455479,-0.38117952806430266)
348.5, (-6869.982534348548,0.7661150526112068,11365.818523679802,-0.3766732505743659)
349.5, (-8193.43813609427,0.7088176931205672,12934.173040621741,-0.3744233117452048)
350.5, (-7923.194913497512,0.7006022242710663,12549.077559269424,-0.37615012349521015)
351.5, (-6107.560558222106,0.8533756505827604,10908.0548368533,-0.3803976846827853)
352.5, (-8801.323058119619,0.6895310657535587,13605.648737244195,-0.372341604416462)
353.5, (-8624.779303106214,0.6982334515432275,13589.989711999993,-0.3754895411196318)
354.5, (-7528.959228042252,0.7416671246184161,12575.344889140166,-0.38222002572110414)
355.5, (-6542.453923067884,0.8159541524705347,11518.729711828135,-0.38239061392445345)
356.5, (-8243.911850329197,0.7276338111975441,13440.49265641905,-0.37795008362835497)
357.5, (-7382.715230640418,0.7740951119577382,12508.670341950005,-0.3798967924772734)
